Unnamed: 0,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,area_sqmiles,NatWalkInd,host_response_time_ord,safety_amenities_count,convenience_amenities_count,room_type_Hotel room,room_type_Private room,room_type_Shared room,is_unique_stay,population_per_sqmile,crime_per_1000,host_years,price_per_person,log_dist_km_downtown,log_dist_km_airport,source_city_OAK,source_city_SD,source_city_SF,listing_age_years,reviews_per_year,stratify_col
16,1.0,0.43,0.0,4.0,1.0,1.0,37.84225,-122.26756,2,1.0,0.0,1.0,60,999,20,4.74,0.0,0.1150022015999999,16.083333335,0.0,1,2,0,1,0,0,17017.065523726462,89.93357179356157,13.54,34.5,1.6534355309392028,2.7115453236665923,1,0,0,13.306849315068494,1.5029853819229977,OAK_Private room
17,1.0,0.43,0.0,4.0,1.0,1.0,37.84214,-122.26748,3,1.0,1.0,2.0,30,365,8,4.88,0.0,0.1150022015999999,16.083333335,0.0,0,3,0,0,0,0,17017.065523726462,89.93357179356157,13.54,33.0,1.6512000522301469,2.7106313782156684,1,0,0,11.906849315068492,0.6718821905200184,OAK_Entire home/apt
19,-1.0,-1.0,0.0,1.0,1.0,1.0,37.85138,-122.23584,5,0.0,3.0,0.0,4,29,8,4.88,0.0,0.7015541247,13.611111113333331,-1.0,3,3,0,0,0,0,5003.177768359574,57.83475783475783,13.62,37.2,1.9570620622769173,2.741762765638605,1,0,0,11.509589041095891,0.6950726017614853,OAK_Entire home/apt
20,1.0,0.86,1.0,2.0,1.0,1.0,37.83885,-122.25628,4,1.0,2.0,3.0,3,14,245,4.85,0.0,0.4288957101,15.7916666675,0.0,4,5,0,0,0,0,13352.896438774616,176.00838135149294,13.81,41.75,1.619614998208573,2.6691303324956475,1,0,0,13.24109589041096,18.503000206910823,OAK_Entire home/apt
21,-1.0,0.0,0.0,1.0,1.0,1.0,37.79756,-122.22064,2,1.0,1.0,1.0,7,90,15,4.93,0.0,0.1884079197,14.916666665,-1.0,4,3,0,1,0,0,13035.545447933737,87.54071661237785,13.34,36.0,1.7049130697292747,2.248102056872854,1,0,0,13.052054794520547,1.149244332493703,OAK_Private room
22,1.0,0.0,0.0,1.0,1.0,1.0,37.81822,-122.23509,7,2.5,4.0,4.0,5,10,5,5.0,0.0,1.1767799043,13.555555555,1.0,4,6,0,0,0,0,5234.623719772167,2.2727272727272725,14.31,81.42857142857143,1.5089565077247833,2.4714608747192197,1,0,0,12.224657534246576,0.4090094128193635,OAK_Entire home/apt
23,1.0,0.39,0.0,1.0,1.0,1.0,37.83388,-122.27236,2,1.0,1.0,1.0,1,5,423,4.8,0.0,0.4436748459,14.805555556666668,1.0,3,2,0,1,0,0,14715.731712839932,136.77439117782205,15.19,27.5,1.454940274300617,2.6604672869160613,1,0,0,13.254794520547945,31.912980570483672,OAK_Private room
24,1.0,1.0,1.0,3.0,1.0,1.0,37.842,-122.25807,5,1.5,2.0,1.0,3,1125,42,4.9,0.0,0.4288957101,15.7916666675,0.0,4,6,0,0,0,0,13352.896438774616,176.00838135149294,14.95,41.6,1.675219272171411,2.6949509959350997,1,0,0,12.882191780821918,3.2603147596767332,OAK_Entire home/apt
25,1.0,0.82,0.0,2.0,1.0,0.0,37.84171,-122.25377,4,1.0,2.0,2.0,3,30,16,4.81,0.0,0.4288957101,15.7916666675,1.0,3,5,0,0,0,0,13352.896438774616,176.00838135149294,13.97,123.75,1.690926275345859,2.6870715696622582,1,0,0,6.9150684931506845,2.3137876386687797,OAK_Entire home/apt
26,1.0,0.88,1.0,3.0,1.0,1.0,37.7535,-122.16069,2,1.0,1.0,1.0,2,60,39,4.5,0.0,0.3130993008,12.7500000025,1.0,3,5,0,0,0,0,16164.20090070032,110.45247974708556,14.35,44.5,2.504246056828959,1.998897022342787,1,0,0,13.263013698630138,2.9405081594711833,OAK_Entire home/apt
27,-1.0,-1.0,0.0,1.0,1.0,1.0,37.85391,-122.21926,3,1.0,1.0,1.0,365,365,28,4.92,0.0,1.6033509063,9.277777777666666,-1.0,3,3,0,0,0,0,3528.235757856945,43.83949089623476,13.55,720.0,2.0979809444306174,2.7559649272549445,1,0,0,13.13972602739726,2.1309424520433695,OAK_Entire home/apt
28,0.8,0.58,1.0,1.0,1.0,1.0,37.8348,-122.18895,2,1.0,1.0,2.0,21,1125,37,4.7,0.0,1.8833618232,7.91666666575,2.0,4,4,0,0,0,0,2531.1121534259632,62.30333543108873,13.25,26.0,2.1942750312293327,2.6331933251497355,1,0,0,12.175342465753424,3.038928892889289,OAK_Entire home/apt
29,1.0,0.95,1.0,1.0,1.0,0.0,37.832,-122.20522,2,1.0,1.0,1.0,2,60,408,4.84,0.0,1.1891366487,13.9166666675,1.0,0,4,0,0,0,0,5077.633429766818,68.40013249420338,13.39,44.0,2.0222764629259817,2.5934298743099435,1,0,0,13.164383561643836,30.99271592091571,OAK_Entire home/apt
30,-1.0,0.5,0.0,1.0,1.0,1.0,37.82152,-122.25335,6,2.5,3.0,3.0,4,1125,20,4.95,0.0,0.1416932946,13.16666667,-1.0,3,5,0,0,0,0,21059.57101515515,176.27345844504023,13.17,116.5,1.2431180794433905,2.5253296176494993,1,0,0,7.742465753424658,2.583156404812456,OAK_Entire home/apt
