Row ID,Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Supervisor District 2012,Latitude,Longitude,Point,data_as_of,data_loaded_at
151859064070,2023/08/01 12:00:00 AM,2023/08/01,00:00,2023,Tuesday,2025/10/13 09:15:00 PM,1518590,250577350,252863119.0,II,Initial,,64070,Suspicious Occ,Suspicious Occ,Suspicious Occurrence,Open or Active,25TH ST \ GUERRERO ST,25602000.0,Mission,Mission,8.0,8.0,37.75037384033,-122.42272186279,POINT (-122.422721863 37.75037384),2025/10/14 09:36:25 AM,2025/10/15 09:59:18 AM
151863406372,2023/01/24 12:00:00 PM,2023/01/24,12:00,2023,Tuesday,2025/08/21 01:43:00 PM,1518634,256109814,,II,Coplogic Initial,True,6372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,LEO ST \ MISSION ST,21745000.0,Ingleside,Outer Mission,11.0,11.0,37.72246551514,-122.43647003174,POINT (-122.436470032 37.722465515),2025/10/15 09:38:33 AM,2025/10/16 09:56:56 AM
151917607026,2023/07/04 06:00:00 AM,2023/07/04,06:00,2023,Tuesday,2025/10/16 10:58:00 AM,1519176,250583090,252891339.0,VI,Vehicle Initial,,7026,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Other Vehicle",Open or Active,LANE ST \ OAKDALE AVE,20209000.0,Bayview,Bayview Hunters Point,10.0,10.0,37.7335357666,-122.38848114014,POINT (-122.38848114 37.733535767),2025/10/17 09:37:37 AM,2025/10/18 09:55:39 AM
151941409024,2023/10/20 12:00:00 AM,2023/10/20,00:00,2023,Friday,2025/10/17 03:49:00 PM,1519414,250585353,252902267.0,II,Initial,,9024,Fraud,Fraud,"Fraudulent Game or Trick, Obtaining Money or Property",Open or Active,30TH ST \ CHURCH ST,21876000.0,Ingleside,Noe Valley,8.0,8.0,37.74207687378,-122.42684936523,POINT (-122.426849365 37.742076874),2025/10/18 09:37:14 AM,2025/10/19 09:56:39 AM
151944263010,2023/12/13 03:39:00 PM,2023/12/13,15:39,2023,Wednesday,2025/10/17 04:29:00 PM,1519442,230874499,252902422.0,IS,Initial Supplement,,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,CALIFORNIA ST \ SPRUCE ST,26943000.0,Richmond,Presidio Heights,2.0,2.0,37.78641891479,-122.4534072876,POINT (-122.453407288 37.786418915),2025/10/18 09:37:14 AM,2025/10/19 09:56:39 AM
151982874000,2023/10/19 12:00:00 AM,2023/10/19,00:00,2023,Thursday,2025/10/19 04:31:00 PM,1519828,250589270,252922263.0,II,Initial,,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,FILLMORE ST \ TURK ST,25973000.0,Northern,Western Addition,5.0,5.0,37.78049468994,-122.43214416504,POINT (-122.432144165 37.78049469),2025/10/20 09:39:26 AM,2025/10/21 09:55:48 AM
151996774000,2023/10/20 03:00:00 PM,2023/10/20,15:00,2023,Friday,2025/10/20 01:03:00 PM,1519967,250590675,252931666.0,II,Initial,,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,KEZAR DR \ WALLER ST,32862000.0,Park,Golden Gate Park,7.0,5.0,37.76817703247,-122.45528411865,POINT (-122.455284119 37.768177032),2025/10/21 09:38:44 AM,2025/10/22 09:57:30 AM
151997109250,2023/01/01 12:00:00 AM,2023/01/01,00:00,2023,Sunday,2025/10/20 12:25:00 PM,1519971,250590590,252931523.0,II,Initial,,9250,Fraud,Fraud,Fraudulent Use Of Automated Teller Card,Open or Active,EDDY ST \ VAN NESS AVE,25186000.0,Northern,Tenderloin,5.0,6.0,37.78289413452,-122.42081451416,POINT (-122.420814514 37.782894135),2025/10/22 09:39:04 AM,2025/10/23 10:10:48 AM
152062904134,2023/10/22 11:05:00 PM,2023/10/22,23:05,2023,Sunday,2025/10/22 11:36:00 PM,1520629,250595910,252953686.0,II,Initial,,4134,Assault,Simple Assault,Battery,Open or Active,LAGUNA ST \ LINDEN ST,25927000.0,Northern,Hayes Valley,5.0,5.0,37.77599716187,-122.42617034912,POINT (-122.426170349 37.775997162),2025/10/24 09:39:13 AM,2025/10/25 09:55:25 AM
152080410045,2023/06/01 12:00:00 AM,2023/06/01,00:00,2023,Thursday,2025/10/23 06:53:00 PM,1520804,250597518,252962514.0,II,Initial,,10045,Embezzlement,Embezzlement,"Embezzlement, Grand Theft By Employee",Open or Active,16TH ST \ MISSOURI ST,23787000.0,Southern,Mission Bay,10.0,10.0,37.76642990112,-122.3968963623,POINT (-122.396896362 37.766429901),2025/10/24 09:39:13 AM,2025/10/25 09:55:25 AM
152089609027,2023/01/01 12:00:00 AM,2023/01/01,00:00,2023,Sunday,2025/10/24 11:18:00 AM,1520896,250598613,252971336.0,II,Initial,,9027,Fraud,Fraud,False Personation,Open or Active,EDDY ST \ JONES ST,24929000.0,Out of SF,Tenderloin,5.0,6.0,37.78393173218,-122.41259765625,POINT (-122.412597656 37.783931732),2025/10/25 09:39:02 AM,2025/10/26 09:57:32 AM
152164809024,2023/10/20 12:00:00 AM,2023/10/20,00:00,2023,Friday,2025/10/27 03:01:00 PM,1521648,250585353,,IS,Initial Supplement,,9024,Fraud,Fraud,"Fraudulent Game or Trick, Obtaining Money or Property",Open or Active,30TH ST \ CHURCH ST,21876000.0,Ingleside,Noe Valley,8.0,8.0,37.74207687378,-122.42684936523,POINT (-122.426849365 37.742076874),2025/10/28 09:38:39 AM,2025/10/29 09:57:17 AM
