objectid,nibrs_uniq,case_number,occured_on,approved_on,day_of_week,month,year,code_section,group_type,ibr_category,crime_against,ibr_offense,ibr_offense_description,pd_offense_category,violent_crime,property_crime,beat,neighborhood,service_area,division_number,division,block_addr,city,state,zip,query_run_date,geocode_status,geocode_score,latitude,longitude
54,2933031_23F,21053877,2021-11-04 15:00:51,2021-11-14 16:26:00,5,11,2021,459 PC BURGLARY (VEHICLE) (F) || ,A,LARCENY/THEFT OFFENSES,PR,23F,Theft From Motor Vehicle,Theft From Motor Vehicle,0,1,232.0,Carmel Mountain,230.0,2.0,Northeastern,12100 World Trade DR,SAN DIEGO,CA,92128.0,2023-09-11 08:41:49,M,97.14,32.98229882991239,-117.07412617725603
55,2949480_240_1,22300219,2021-11-21 15:00:00,2022-01-11 13:55:20,1,11,2021,10851 (A) VC TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F) || ,A,MOTOR VEHICLE THEFT,PR,240,Motor Vehicle Theft,Motor Vehicle Theft,0,0,725.0,Ocean Crest,720.0,7.0,Southern,5500 Surfrider WAY,SAN DIEGO,CA,92154.0,2023-09-11 08:41:49,M,97.06,32.56890723021995,-117.01269699626836
56,2881618_250,21026138,2021-06-03 15:03:00,2021-06-04 00:04:43,5,6,2021,470 (A) PC FORGERY (F) || ,A,COUNTERFEITING/FORGERY,PR,250,Counterfeiting/Forgery,Fraud/Counterfeiting,0,0,115.0,University City,110.0,1.0,Northern,3500 Lebon DR,SAN DIEGO,CA,92122.0,2023-09-11 08:41:49,M,96.55,32.86841068701703,-117.2248465191564
57,3037566_26C,22047512,2022-11-01 00:01:00,2022-11-01 21:24:18,3,11,2022,530 PC PERSONATE TO GET MONEY/PROP [OVER $400] (F) || ,A,FRAUD OFFENSES,PR,26C,Impersonation,Fraud/Counterfeiting,0,0,721.0,Egger Highlands,720.0,7.0,Southern,1400 Elder AVE,SAN DIEGO,CA,92154.0,2023-09-11 08:41:49,M,96.67,32.57914421169762,-117.10314303697034
58,2921490_90Z,21047709,2021-10-08 00:48:00,2021-10-08 06:29:33,6,10,2021,5150 WI MENTAL DISORDER 72 HR OBSERVATION || ,B,"GROUP ""B"" OFFENSES",,90Z,All Other Offenses,All Other Offenses,0,0,111.0,Clairemont Mesa East,110.0,1.0,Northern,4900 Mount La Platta DR,SAN DIEGO,CA,92117.0,2023-09-11 08:41:49,M,97.3,32.82714123703999,-117.1876201247469
59,2942903_90D,21059146,2021-12-17 22:50:40,2021-12-20 21:42:58,6,12,2021,23152 (A) VC DUI ALCOHOL (M) || ,B,"GROUP ""B"" OFFENSES",SO,90D,Driving Under the Influence,Alcohol Violations,0,0,511.0,Barrio Logan,510.0,5.0,Central,National AVE & Sigsbee ST,SAN DIEGO,CA,92113.0,2023-09-11 08:41:49,M,97.37,32.702975036802464,-117.14840800004968
60,2875735_23F,21023074,2021-05-15 23:00:00,2021-05-18 11:28:36,7,5,2021,459 PC BURGLARY (VEHICLE) (F) || ,A,LARCENY/THEFT OFFENSES,PR,23F,Theft From Motor Vehicle,Theft From Motor Vehicle,0,1,621.0,Linda Vista,620.0,6.0,Western,2200 Dunlop ST,SAN DIEGO,CA,92111.0,2023-09-11 08:41:49,M,96.67,32.784697463808826,-117.16649175162526
61,2856123_290,21012188,2021-03-13 03:45:00,2021-03-13 05:25:36,7,3,2021,594 (B)(1) PC VANDALISM ($400 OR MORE)  (F) || ,A,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,PR,290,Destruction/Damage/Vandalism of Property,Vandalism,0,0,315.0,Mission Valley East,310.0,3.0,Eastern,2100 Gill Village WAY,SAN DIEGO,CA,92108.0,2023-09-11 08:41:49,M,96.12,32.77347419115095,-117.14652333446811
62,154708_90Z,20011857,2020-02-25 18:00:00,2020-02-26 14:33:54,3,2,2020,5150 WI MENTAL DISORDER 72 HR OBSERVATION || ,B,"GROUP ""B"" OFFENSES",,90Z,All Other Offenses,All Other Offenses,0,0,822.0,El Cerrito,820.0,8.0,Mid-City,,SAN DIEGO,CA,92115.0,2024-04-26 12:03:19.800000,M,96.76,32.74784234353402,-117.07614454871724
63,151430_90Z,20009783,2020-02-16 01:26:00,2020-02-17 13:26:54,1,2,2020,5150 WI MENTAL DISORDER 72 HR OBSERVATION || ,B,"GROUP ""B"" OFFENSES",,90Z,All Other Offenses,All Other Offenses,0,0,621.0,Linda Vista,620.0,6.0,Western,6600 Orr ST,SAN DIEGO,CA,92111.0,2023-09-11 08:41:49,M,96.3,32.79527449343664,-117.1754991866212
64,3126282_23H,23710696,2023-08-16 23:25:00,2023-08-17 10:49:34,4,8,2023,488 PC PETTY THEFT(All Other Larceny) (M) || ,A,LARCENY/THEFT OFFENSES,PR,23H,All Other Larceny,Larceny,0,1,111.0,Clairemont Mesa East,110.0,1.0,Northern,7500 LINDA VISTA RD,SD,CA,92111.0,2025-03-28 16:18:45,M,100.0,32.798133261446495,-117.1597707862463
